Server IP,Port,Protocol,First Seen,Last Seen,Hosting Provider,VirusTotal Link
179.43.145.245,80,TCP,2021-02,present,Private Layer INC,https://www.virustotal.com/gui/ip-address/179.43.145.229/community
179.43.145[.]229,80,TCP,2020-10,2021-02,Private Layer INC,https://www.virustotal.com/gui/ip-address/179.43.145.229/community
179.43.141[.]91,80,TCP,2020-10,2020-11,Private Layer INC,https://www.virustotal.com/gui/ip-address/179.43.141.91/community
139.162.8[.]183,80,TCP,2020-10,2020-10,Linode LLC,https://www.virustotal.com/gui/ip-address/139.162.8.183/community
172.104.74[.]56,80,TCP,2020-10,2020-10,Linode LLC,https://www.virustotal.com/gui/ip-address/172.104.74.56/community
139.162.38[.]195,80,TCP,2020-10,2020-10,Linode LLC,https://www.virustotal.com/gui/ip-address/139.162.38.195/community
139.59.241[.]60,80,TCP,2020-09,2020-09,DigitalOcean LLC,https://www.virustotal.com/gui/ip-address/139.59.241.60/community
172.105.227[.]50,80,TCP,2020-09,2020-09,Linode LLC,https://www.virustotal.com/gui/ip-address/172.105.227.50/community
188.166.214[.]25,80,TCP,2020-09,2020-09,DigitalOcean LLC,https://www.virustotal.com/gui/ip-address/188.166.214.25/community
